Ejercicio;Tema
Una persona sale de su casa y recorre los 200 m que le separan en linea recta de la panaderia a una velocidad constante de 14 m s permanece en la panaderia durante 2 min y regresa a su casa a una velocidad de 18 m s a) ¿Cual ha sido el desplazamiento? b) ¿Que espacio ha recorrido? c) Realiza la grafica velocidad-tiempo;mru
Sabiendo que la velocidad con que se mueve un cuerpo sobre una trayectoria recta es 20 m s y que su posicion a los 3 s de iniciado el movimiento es 100 m calcula su posicion a los 10 s y la distancia recorrida en 10 s;mru
Determina la posicion del cuerpo del ejemplo anterior cuando han transcurrido 15s desde que se inicio el movimiento ¿En que instante ocupa el cuerpo la posicion 250 m?;mru
Un automovil viaja inicialmente a 20 m s y esta bajo una aceleracion constante de 2 m s2 ¿Que distancia recorre a 15 s?;mruv
Un motociclista lleva una velocidad inicial de 12 m s al Sur a los 3 segundos su velocidad es de 6 m s2  calcular la aceleracion media y el desplazamiento en ese tiempo;mruv
Una bicicleta se mueve con velocidad constante recorriendo 200 m cada 40 s ¿Que distancia expresa en metros recorrera en 15s;mru
Un balin que parte del reposo se acelera a razon de 5 m s2 durante un segundo ¿Que velocidad alcanza y que distancia recorre al cabo de dicho periodo?;mruv
Un automovil se mueve siguiendo una trayectoria rectilinea con velocidad constante recorriendo 180 Km cada 15 h ¿Que aceleracion experimenta?;mru
¿Que velocidad alcanza el balon en un tiro libre directo si recorre una distancia de 5m y el balon entra en la porteria en 253 segundos?;mru
Un motociclista lleva una velocidad de 28 Km h en un tiempo de 0016 minutos Calcular su aceleracion para el sistema internacional;mru
Un tren parte del reposo con una velocidad de 25 Km h y al cabo de un minuto obtienen una velocidad de 75 Km h Determinar: a Su aceleracion en m s2 en ese tiempo b La distancia recorrida en metros;mruv
Un camion viaja con una velocidad de 70 Km h aplica los frenos y se detiene en 15 segundos Determinar: a Su aceleracion b La distancia recorrida desde sus frenos hasta que se detuvo c La velocidad a los 6 segundos con los frenos;mruv
Un hombre tarda 5 hrs en viajar de una ciudad a otra situada 180 Km ¿Cual es la velocidad y aceleracion expresas en SI y sistema metrico decimal?;mruv
Calcular la velocidad media de un automovil que durante su recorrido tuvo las siguientes velocidades: V1= 185 m s V2= 22 m s V3= 203 m s y V4= 215 m s expresar el resultado en SI;mru
 Si se tarda 2 hrs en viajar de una ciudad a otra situada 58 Km ¿Cual es la velocidad y aceleracion expresas en SI y sistema metrico decimal y en sistema ingles?;mruv
Una pelota al ser soltada en una pendiente adquiere una aceleracion de 6 m s2  en 12 seg determinar: a ¿Que velocidad lleva en ese tiempo? b ¿Que distancia recorre en ese tiempo?;mruv
Un camion de carga que viaja sur con una velocidad de 70km h aplica los frenos bruscamente y se detiene a los 15 segundos Determinar en sistema ingles: a La aceleracion b La distancia total recorrida a desde que aplico los frenos hasta detenerse c La velocidad que lleva a los 6 segundos de haber aplicado los frenos d La distancia que recorrio durante los primeros 6 segundos de haber frenad;mruv
Un automovil viaja por una carretera de montana llena de curvas y recorre 80 km en 4 hrs La distancia de la linea recta del inicio al final del recorrido es tan solo de 60 km ¿Cual es la rapidez media en m s? ¿Cual es la velocidad media en m s?;mru
Determinar la distancia que recorrera un ciclista durante 7 segundos si lleva una velocidad media de 30 km h al norte;mru
Determinar el tiempo en segundos en que un movil recorrera una distancia de 15 Km si lleva una velocidad de 45 km h;mru
Un barco navega a una velocidad de 60 km h en un rio cuya velocidad es de 12 km h al norte calcular a) La velocidad del barco si va en la misma direccion y sentido que la corriente del rio b) La velocidad del barco si va en la misma direccion pero en sentido contrario a la corriente del rio c) La velocidad del barco al cruzar el rio de una orilla a la otra Encontrar tambien la direccion que llevara el barco;mru
Determinar la velocidad media de un movil que en su recorrido experimenta las siguientes velocidades: 45 Km h 15 Km h 80 Km h 15 Km km;mru
Un automovil recorre 30 Km al este y despues regresa direccion oeste 7 km si el recorrido duro 45 minutos determinar a) La velocidad del movil b) La rapidez del movil;mru
 Que tiempo en segundos tardara una persona en recorrer 16 Km si lleva una velocidad media de 25 m s;mru
Determinar la velocidad de un automovil que recorrer 80 Km en 80 minutos;mru
Un motociclista lleva una velocidad de 2 m s al sur a los 4 segundos su velocidad es de 12 m s tambien hacia el sur Calcular a) Su aceleracion media b) Su desplazamiento en ese tiempo;mruv
Una lancha de motor parte del reposo hacia el sur y en 06 minutos alcanza una velocidad de 65 km h Calcular: a) ¿Cual fue su aceleracion? b) ¿Cual fue su desplazamiento en ese tiempo?;mruv
Calcular el tiempo en horas en que un automovil recorre una distancia de 3 km Si lleva una velocidad media de 50 km h al sur;mruv
Un automovil adquiere una velocidad de 40 km h al sur en 4 s ¿Cual es su aceleracion en m s2 ?;mruv
Un tren parte del reposo al este y experimenta una aceleracion de 03 m s2 durante 05 min Determinar: a) ¿Que distancia recorre en ese tiempo? b) ¿Que velocidad lleva en ese tiempo?;mruv
Un camion que viaja al norte con una velocidad de 70 km h aplica bruscamente los frenos y se detiene en 15 segundos Determinar: a) La aceleracion b) La distancia total recorrida desde que aplico los frenos hasta detenerse c) La velocidad que lleva a los 6 segundos de haber aplicado los frenos d) La distancia que recorrio durante los primeros 6 seg de haber frenado;mruv
Considere que un autobus parte del reposo sobre una carretera horizontal y acelera uniformemente hasta que al cabo de 13 segundos alcanza una velocidad de 23 m s Determine: a) la aceleracion b) la distancia recorrida en ese tiempo;mruv
Una particula se desplaza en linea recta con una velocidad de 35 m s y desacelera uniformemente hasta llegar al reposo en una distancia de 15 m Determinar a) La aceleracion b) el tiempo que ocupo para detenerse;mruv
Un movil parte del reposo y acelera uniformemente a razon de 3 m s2 en una distancia 57 m Calcular: a) El tiempo que tardo en recorrer esa distancia? b) La velocidad en ese instante;mruv
Un movil tiene una velocidad de 7 m s al sur y experimenta una aceleracion de 2 m s2  la cual dura 15 segundos Calcular: a) El desplazamiento que tiene a los 15 segundos b) La velocidad que lleva a los 15 segundos;mruv
Un automovil con una rapidez de 30 km h se lanza cuesta abajo de una pendiente y adquiere una rapidez de 130 km h en 1 minuto Si se considera que su aceleracion fue constante calcular: a) La aceleracion b) La distancia recorrida durante ese tiempo;mruv
Una motocicleta arranca desde el reposo y mantiene una aceleracion constante de 07 m s2  calcular: a) el tiempo en que recorrera una distancia de 16 km b) La rapidez que llevara en ese tiempo;mruv
Un automovilista que lleva una rapidez de 95 km h aplica los frenos para detenerse 7 segundos ante un semaforo considerando una aceleracion constante calcular: a) La magnitud de su aceleracion b) La distancia total recorrida desde que aplico los frenos hasta detenerse c) La rapidez que lleva a los 3 segundos de haber aplicado los frenos d) La distancia que recorrio durante los primeros 3 segundos de haber frenado;mruv
 Un automovil que viaja al este aumenta su velocidad de 35 km h a 70 km h en 6 segundos si se considera que su aceleracion fue constante calcular: a) Su aceleracion b) La distancia que recorrio en los 3 segundos c) La velocidad que lleva a los 5 segundos;mruv
 Una caja se cae accidentalmente de una camioneta que lleva una velocidad de 65 km h hacia el este recorriendo 16 m antes de detenerse Si la aceleracion es constante calcular: a) La aceleracion b) El tiempo que tarda en detenerse c) La distancia que recorre el primer segundo;mruv
 Si un automovil parte del reposo y se acelera a razon de 5 m s2  Realizar las graficas de velocidad con respecto al tiempo y desplazamiento con respecto al tiempo de 0 a 7 segundos;mruv
Una camioneta que viaja al sur con una velocidad de 130 km h aplica bruscamente los frenos y se detiene en 13 segundos Determinar: a) La aceleracion b) La distancia total recorrida desde que aplico los frenos hasta detenerse c) La velocidad que lleva a los 7 segundos de haber aplicado los frenos d) La distancia que recorrio durante los primeros 9 seg de haber frenado;mruv
Una lancha parte del reposo hacia el norte y en 32 minutos alcanza una velocidad de 73 km h Calcular: a) ¿Cual fue su aceleracion? b) ¿Cual fue su desplazamiento en ese tiempo?;mruv
Un tren parte del reposo al este y experimenta una aceleracion de 08 m s2 durante 3 4 min Determinar: a) ¿Que distancia recorre en ese tiempo? b) ¿Que velocidad lleva en ese tiempo?;mruv
Un camion que viaja al norte con una velocidad de 135 km h aplica bruscamente los frenos y se detiene en 11 segundos Determinar: a) La distancia total recorrida desde que aplico los frenos hasta detenerse b) La velocidad que lleva a los 5 segundos de haber aplicado los frenos c) La distancia que recorrio durante los primeros 3 seg de haber frenado;mruv
Un automovil que viaja al este aumenta su velocidad de 40 km h a 120 km h en 5 segundos si se considera que su aceleracion fue constante calcular: a) Su aceleracion b) La distancia que recorrio en los 3 segundos c) La velocidad que lleva a los 4 segundos;mruv
Una particula se desplaza en linea recta con una velocidad de 65 km h y desacelera uniformemente hasta llegar al reposo en una distancia de 20 m Determinar a) La aceleracion b) el tiempo que ocupo para detenerse;mruv
Un movil parte del reposo y acelera uniformemente a razon de 07 m s2 durante una distancia 100 m Calcular: a) El tiempo que tardo en recorrer esa distancia? b) La velocidad en ese instante;mruv
Un movil tiene una velocidad de 30 km h al sur y acelera constantemente a razon de15 m s2  durante 8 segundos Calcular: a) El desplazamiento que tiene a los 5 segundos b) La velocidad que lleva a los 8 segundos;mruv
Un automovil que viaja al oeste aumenta su velocidad de 25 km h a 110 km h en 12 segundos si se considera que su aceleracion fue constante calcular: a) La distancia que recorre en los primeros 4 segundos b) La velocidad que lleva en los 3 segundos c) La velocidad que lleva a los 10 segundos;mruv
Si un automovil lleva una velocidad de 3 m s y se acelera constantemente a razon de 3 m s2  Realizar las graficas de velocidad con respecto al tiempo y desplazamiento con respecto al tiempo de 0 a 9 segundos;mruv
Un nino deja caer una pelota desde una ventana que esta a 60 m de altura sobre el suelo Calcular: a) ¿Que tiempo tardara en caer? b) ¿Con que velocidad choca en el suelo?;tv
Un balon de futbol se deja caer desde una ventana y tarda en caer 5 segundos a) ¿Desde que altura cayo? b) ¿Con que velocidad cae al suelo?;tv
Una pelota se suelta al vacio desde una altura de 120 m a) ¿Que tiempo tarda en caer? b) ¿Con que velocidad cae?;tv
Se tira una piedra verticalmente hacia arriba con una velocidad inicial de 8m s a) ¿Que tiempo dura la piedra en el aire? b) ¿Cual es su maxima altura que alcanza?;tv
Se dispara una flecha verticalmente hacia arriba con una velocidad de 56 m s Calcular: a) Tiempo empleado para llegar al punto mas alto b) Altura maxima que alcanza la flecha c) Tiempo que alcanza a la mitad de su altura maxima d) Velocidad alcanzada a la mitad de su altura maxima;tv
Una piedra lanzada verticalmente hacia arriba alcanza una altura maxima de 12 m Encontrar: a) El tiempo para alcanzar el punto mas alto b) Su velocidad de llegada al suelo c) Su altura al terminar el primer segundo;tv
Un trabajador deja caer accidentalmente un martillo mientras esta trabajando sobre lo alto de un edificio Se requieren 8 s para que el martillo llegue al suelo ¿Que altura tiene el edificio? ¿A que velocidad choca el martillo con el suelo?;tv
Se lanza verticalmente hacia arriba desde un edifico de 15 m de altura una pelota con una velocidad de 20 m s Calcular: a) ¿El desplazamiento a los 15 s? b) ¿Que velocidad lleva a los 2 s? c) ¿Que altura maxima alcanza? d) ¿Que desplazamiento lleva a los 3 s? e) ¿Que velocidad lleva a los 3 s? f) ¿Cuanto tiempo dura en el aire? g) ¿Que desplazamiento lleva los 45 s?;tv
Se lanza verticalmente hacia arriba desde un edifico de 23 m de altura una piedra con una velocidad de 14 m s Calcular: a) ¿El desplazamiento a los 2 s? b) ¿Que velocidad lleva a los 3 s? c) ¿Que altura maxima alcanza? d) ¿Que desplazamiento lleva a los 4 s? e) ¿Que velocidad lleva a los 3 s? f) ¿Cuanto tiempo dura en el aire? g) El tiempo de llegada a la base del edificio;tv
Una piedra lanzada verticalmente hacia arriba alcanza una altura maxima de 18 m Encontrar: a) El tiempo para alcanzar el punto mas alto b) Su velocidad de llegada al suelo c) Su altura a los 2 segundos;tv
Un bateador de beisbol golpea una pelota en linea recta hacia arriba La pelota la recogen 10 segundos despues Encontrar: a) La velocidad inicial b) La altura maxima alcanzada c) La velocidad de la pelota 7 segundos despues de golpeada;tv
Se lanza verticalmente hacia arriba una pelota con una velocidad de 294 m s Calcular: a) ¿El desplazamiento a los 25 s? b) ¿Que velocidad lleva a los 25 s? c) ¿Que altura maxima alcanza? d) ¿Que desplazamiento lleva a los 35 s? e) ¿Que velocidad lleva a los 35 s? f) ¿Cuanto tiempo dura en el aire?;tv
Se dispara una flecha verticalmente hacia arriba con una velocidad de 45 m s Calcular: a) Tiempo empleado para llegar al punto mas alto b) Altura maxima que alcanza la flecha c) Tiempo que alcanza a la mitad de su altura maxima d) Velocidad alcanzada a la mitad de su altura maxima;tv
Se lanza verticalmente hacia arriba desde un edifico de 35 m de altura una pelota con una velocidad de 8 m s Calcular: a) ¿El desplazamiento a los 13 s? b) ¿Que velocidad lleva a los 2 s? c) ¿Que altura maxima alcanza? d) ¿Que desplazamiento lleva a los 25 s? e) ¿Que velocidad lleva a los 3 s? f) ¿Cuanto tiempo dura en el aire?;tv
Un nino deja caer un objeto desde una ventana que esta a 25 m de altura sobre el suelo Calcular: a) ¿Que tiempo tardara en caer? b) ¿Con que velocidad choca en el suelo?;tv
Un objeto se deja caer desde una ventana y tarda en caer 7 segundos a) ¿Desde que altura cayo? b) ¿Que velocidad lleva a los 5 segundos? c) ¿Con que velocidad cae al suelo?;tv
Una piedra se suelta al vacio desde una altura de 85 m a) ¿Que tiempo tarda en caer? b) ¿Que velocidad tiene a los 3 segundos? c) ¿Con que velocidad cae?;tv
Se tira una piedra verticalmente hacia abajo con una velocidad inicial de 4 m s a) ¿Que desplazamiento tiene a los 3 segundos? b) ¿Cual es su velocidad a los 2 segundos?;tv
Se lanza una piedra verticalmente hacia arriba y llega a su altura maxima en 8 segundos Calcular a) ¿Cual fue su velocidad de lanzamiento? b) ¿Cual es su altura maxima? c) ¿Que velocidad llevara a los 7? d) ¿Que velocidad llevara a los 9 segundos?;tv
Se patea un balon verticalmente hacia arriba y regresa en 4 segundos Calcular a) ¿Cual fue su velocidad de lanzamiento?;tv
Se lanza una piedra horizontalmente con una velocidad de 25 m s desde una altura de 60 m Calcular: a) El tiempo que tarda en llegar al suelo b) La velocidad que lleva a los 2 seg c) La distancia a la que cae la piedra;tob
Un jugador le pega a una pelota con un angulo de 37º con respecto al plano horizontal comunicandole una velocidad inicial de 15 m s Calcular: a) El tiempo que dura la pelota en el aire b) La altura maxima alcanzada c) El alcance horizontal de la pelota;tob
Una pelota lanzada horizontalmente desde una ventana con una velocidad inicial de 10 m s cae al suelo despues de 5 seg a) ¿A que altura se encuentra la ventana? b) ¿A que distancia cae la pelota de la base del edificio?;tob
Un proyectil lanzado con una velocidad inicial de 400 m s con un angulo de elevacion de 35º  Calcular: a) El tiempo que dura en el aire b) La altura maxima alcanzada por el proyectil c) El alcance horizontal del proyectil;tob
Un avion bombardero esta volando horizontalmente a una altura de 12 Km Con una velocidad de 180 Km h Calcular: a) La velocidad de la bomba al llegar al suelo b) La velocidad de la bomba 10 seg despues de soltarla c) La velocidad de la bomba cuando se encuentra a 200m de altura d) La distancia horizontal alcanzada por la bomba;tob
Un avion vuela a 325 Km h desciende a 200m de altura donde en vuelo recto y horizontal libera un bulto de alimentos para que caiga en una senal sobre el suelo Calcula: a) A que distancia debera soltar el bulto medida sobre el eje x b) Tiempo que tarda en llegar el bulto al suelo;tob
Un balon de futbol es lanzado con una velocidad de 235 m s a un angulo de 71º con respecto a la horizontal Calcular: a) Tiempo que tarda el balon en caer al suelo b) Altura maxima alcanzada c) Alcance maximo;tob
Una jabalina es lanzada con una velocidad de 24 m s y con un angulo de elevacion de 42o  Calcular: a) La altura maxima b) El alcance maximo c) ¿Cuanto mas lejos llegaria la jabalina si el angulo de elevacion fuera de 45?;tob
Un atleta de salto de longitud deja el piso a un angulo de 20o respecto a la horizontal y a una rapidez de 11 m s a) ¿Hasta donde salta? b) ¿Cual es la altura maxima alcanzada por el atleta?;tob
La distancia promedio de la Tierra a la Luna es de 384 x 108 m Si el periodo de la Luna cuando gira alrededor de nuestro planeta es de 28 dias y considerando el movimiento de la luna alrededor de la tierra como circular uniforme calcular: a) La velocidad angular de la Luna en rad s b) La velocidad lineal de la Luna c) La aceleracion centripeta de la Luna;mcu
Un objeto unido al extremo de una cuerda de 06 m de largo gira 10 revoluciones en 20 s con rapidez constante Calcular a) La velocidad angular del objeto en rad s b) La velocidad lineal del objeto c) La magnitud de la aceleracion centripeta;mcu
Un auto se desplaza con una rapidez constante de 10 m s por una curva de 50 m de radio Calcula su aceleracion centripeta;mcu
Se ata un tapon a una cuerda de 080 m de largo y se hace girar con rapidez constante Si da seis vueltas completas en 4 s determinar: a) La frecuencia del objeto b) El periodo del tapon c) La velocidad angular en rad s d) La velocidad lineal e) La aceleracion centripeta;mcu
¿Cual es la magnitud del desplazamiento angular de una rueda que gira con una velocidad angular cuya magnitud es de 63 rad s durante 10 s?;mcu
Una persona se subio a la rueda de la fortuna y recorrio 7200o ¿cuantos radianes recorrio?;mcu
Calcula la magnitud de la velocidad angular y el periodo de una rueda que gira con una frecuencia de 1200 revoluciones por minuto;mcu
Calcula la magnitud de la velocidad angular de una rueda que gira a 600 RPM asi como la magnitud de su desplazamiento angular si dura girando 10 minutos;mcu
¿Cual es la magnitud de la velocidad lineal de un objeto que tiene una velocidad angular con una magnitud de 40 rad s y su radio de giro es de 015 m?;mcu
Determinar cual es la magnitud de la velocidad lineal de un objeto que en su movimiento circular tiene un radio de giro de 40 cm y tiene un periodo de 0012 segundos Expresar el resultado en m s;mcu
Determina la magnitud de la velocidad angular y la frecuencia de un rehilete que gira con un periodo de 01 s;mcu
 Un objeto con trayectoria circular recorre 750 radianes ¿A cuantos grados equivalen?;mcu
Un disco gira desplazandose 20 rad en 01 segundo ¿Cual es la magnitud de su velocidad angular?;mcu
Las   ruedas   de un automovil tienen 60 cm de diametro Calcular   con   que velocidad angular giran cuando el automovil se desplaza a 72 km h;mcu
Un coche que va a 20 m s recorre el perimetro de una pista circular en un minuto a) Determinar el radio de la misma b) ¿Tiene aceleracion el coche? En caso afirmativo determina su modulo su direccion y su sentido;mcu
Un coche recorre con velocidad constante una circunferencia de 50 cm de radio con una frecuencia de 10 Hz Determina;mcu
­ Un disco de 20 cm de radio gira a 3333 rpm Halla su velocidad angular la velocidad lineal y la aceleracion centripeta de: a) Un punto de su periferia b) Un punto situado a 10 cm del centro c) ¿Cuanto tiempo tardara el disco en girar 780º? d) ¿Y en efectuar 15 revoluciones?;mcu
 Calcular la rapidez circunferencial de un volante de 40 cm de radio si da 50 vueltas en 20 segundos;mcu
El borde de una rueda lleva una velocidad de 14 m s da 140 vueltas en 2 3 de minuto Calcular cuanto mide el radio;mcu
­ Un tren electrico da vueltas por una pista circular de 50 cm de radio con una velocidad constante de 10 cm s Calcula:  a) la velocidad angular  b) la aceleracion radial  c) el periodo y la frecuencia d) numero de vueltas que dara en 10 segundos;mcu
Un punto se mueve en una circunferencia de radio 5m con movimiento circular uniforme Calcular su velocidad sabiendo que cada 5s recorre un arco de 2m Calcular tambien su velocidad angular;mcu
Un disco gira a 45 rpm Calcular las velocidades lineal y angular de los puntos que distan 1 cm del centro de giro;mcu
Si un cuerpo recorre una circunferencia de radio 80 cm a razon de 04 rad s Determinar;mcu
Un cuerpo se mueve partiendo del reposo con una aceleracion constante de 8  m s2  Calcular: ;mruv
Sobre una recta se desplazan dos moviles con velocidad constante El primer se desplaza hacia el segundo con velocidad de 4 m s el segundo sale hacia el primero 6 s mas tarde y con la misma velocidad Si la distancia que los separa inicialmente es de 80 m ¿en que instante se cruzaran?;mru
Un coche sale de Ayalde hacia Bilbao a 54 km h de velocidad constante Al mismo tiempo sale desde Bilbao hacia Ayalde otro coche a velocidad constante de 72 km h Si entre Bilbao y Ayalde hay 8 km ¿A que distancia de Bilbao se encontrarian? Resuelve el problema graficamente;mru
- La rueda nº 1 gira a 600 rpm mientras que la nº 2 a 100 pi rad s ¿Cual de los dos posee mayor velocidad angular? ¿Cuantas vueltas daran cada una en 5 segundos?;mcu
Imaginate que las moscas Aurelia y Benita se paran sobre un disco de musica de 45 rpm de los que escuchaba tu profesor de Fisica en la edad del pavo Aurelia se situa a 10 cm del centro mientras que Benita se coloca a 15 cm ¿Cuantos metros de distancia recorreran cada una en 20 segundos?;mcu
Un disco gira a razon de 25 rad s Calcula las vueltas que habra dado al cabo de 10 segundos;mcu
La Luna tarda 29 dias 12 horas y 44 minutos en dar una vuelta alrededor de la Tierra Calcula la velocidad angular de la Luna alrededor de la Tierra y su velocidad lineal Dato: dT-L=384000 km;mcu
La Tierra recorre cada ano en su movimiento de traslacion alrededor del Sol una distancia de 940 millones de kilometros ¿Sabrias calcular a que velocidad viajamos por el espacio?;mcu
- Un tren de juguete da vueltas en una pista circular de 10 m de radio con una velocidad constante de 36 km h Expresa su velocidad angular en rad s y calcula las vueltas que dara en 5 minutos;mcu
- Una rueda de 04 m de radio parte del reposo y al cabo de 4 s ha adquirido una velocidad angular constante de 360 rpm Calcular: a) La aceleracion angular media de la rueda b) La velocidad de un punto de su periferia una vez alcanzada la velocidad angular constante c) La aceleracion normal en ese instante S;mcu
- Una rueda de 50 cm de radio gira a 180 rpm Calcula: a) El modulo de la velocidad angular en rad s b) El modulo de la velocidad lineal de su borde c) Su frecuencia;mcu
Un CD-ROM que tiene un radio de 6 cm gira a una velocidad de 2500 rpm Calcula: a) El modulo de la velocidad angular en rad s b) El modulo de la velocidad lineal de su borde c) Su frecuencia;mcu
- Teniendo en cuenta que la Tierra gira alrededor del Sol en 36525 dias y que el radio de giro medio es de 15·1011 m calcula (suponiendo que se mueve en un movimiento circular uniforme): a) El modulo de la velocidad angular en rad dia b) El modulo de la velocidad a que viaja alrededor del Sol c) El angulo que recorrera en 30 dias d) El modulo de la aceleracion centripeta provocada por el Sol;mcu
- Calcular cuanto tiempo pasa entre dos momentos en que Marte y Jupiter esten sobre el mismo radio de sus orbitas (suponiendo que ambos se mueven con un movimiento circular uniforme) Periodos de sus orbitas alrededor del Sol: Marte: 6870 dias y Jupiter: 1186 anos;mcu
Un piloto de avion bien entrenado aguanta aceleraciones de hasta 8 veces la de la gravedad durante tiempos breves sin perder el conocimiento Para un avion que vuela a 2300 km h ¿cual sera el radio de giro minimo que puede soportar?;mcu
Una rueda de 10 cm de radio gira a 3 rad s Calcula la velocidad lineal de un punto de la periferia asi como de otro punto situado a 5 cm del eje de giro;mcu
- Tenemos un cubo con agua atado al final de una cuerda de 05 m y lo hacemos girar verticalmente Calcular: a) El modulo de la velocidad lineal que debe adquirir para que la aceleracion centripeta sea igual a 98 m s2 b) El modulo de la velocidad angular en ese caso;mcu
- Una noria de 40 m de diametro gira con una velocidad angular constante de 0125 rad s Calcula: a) La distancia recorrida por un punto de la periferia en 1 min b) El numero de vueltas que da la noria en ese tiempo c) Su periodo d) su frecuencia;mcu
Un ciclista recorre 54 km en 15 min a velocidad constante Si el diametro de las ruedas de su bicicleta es de 80 cm calcula: a) la velocidad angular de las ruedas b) el numero de vueltas que dan las ruedas en ese tiempo;mcu
- La rueda de una bicicleta tiene 30 cm de radio y gira uniformemente a razon de 25 vueltas por minuto Calcula: a) La velocidad angular en rad s b) La velocidad lineal de un punto de la periferia de la rueda c) Angulo girado por la rueda en 30 segundos d) numero de vueltas en ese tiempo;mcu
Calcula la velocidad lineal la velocidad angular y la relacion que existe entre estas para dos puntos que describen circunferencias de 15 y 025 m de radio respectivamente en 2 segundos;mcu
- Un tiovivo gira a 30 revoluciones por minuto Calcula la velocidad angular y la velocidad lineal de un caballito que este a 15 metros del centro y de otro que este a 2 metros Calcula la aceleracion normal para este ultimo;mcu
Un MCU tiene una frecuencia de 60 hercios Calcula: a) su velocidad angular b) su periodo c) su velocidad angular en revoluciones por minuto;mcu
Si el periodo de un MCU se duplica ¿que ocurre con a) su velocidad angular? b) su frecuencia? c) su aceleracion normal?;mcu
Un aerogenerador cuyas aspas tienen 10 m de radio gira dando una vuelta cada 3 segundos Calcula: a) Su velocidad angular b) Su frecuencia c) La velocidad lineal del borde del aspa c) La aceleracion centripeta en el centro del aspa;mcu
La Estacion Espacial Internacional gira con velocidad angular constante alrededor de la Tierra cada 90 minutos en una orbita a 300 km de altura sobre la superficie terrestre a) Calcula sus velocidades angular y lineal b) Justifica si tiene aceleracion (Dato: RT=6370 km);mcu
Un volante gira con una velocidad angular constante de 50 rad s Calcular: a) La velocidad de un punto de la periferia sabiendo que su radio es R = 1 m b) La velocidad de un punto colocado a una distancia de 05 m del centro c) Espacio recorrido por ambos puntos materiales en el tiempo de 1 min d) El numero de vueltas que da el volante en ese tiempo;mcu
- Un cilindro de carton de 20 m de altura gira alrededor de su eje a razon de 1 vuelta cada 10 segundos En la direccion de la generatriz se hace un disparo y se observa que los radios que pasan por los impactos hechos en las bases forman un angulo de un grado Calcular la velocidad del proyectil;mcu
La velocidad tangencial de un punto material situado a 06 m del centro de giro es de 15 m s Hallar: • a) ¿Cual es su velocidad angular? • b) ¿Cual es su periodo?;mcu
Una polea cumple 2000 RPM calcular la velocidad angular en grados sobre segundo;mcu
Calcular la velocidad angular de un volante que da 2000 RPM;mcu
Un punto movil gira con un periodo de 2 s y a 12 m del centro calcular: • a) La velocidad tangencial • b) La velocidad angular;mcu
La velocidad angular de un punto movil es de 55  s ¿cual es la velocidad tangencial si el radio de giro es de 015 m?;mcu
Calcular la aceleracion angular de una rueda de 025 m de radio al lograr a los 20 s una velocidad de 40 km h;mcu
El radio de una rueda de bicicleta es de 32 cm Si la velocidad tangencial es de 40 km h ¿cual es la velocidad angular?;mcu
Las ruedas de una bicicleta poseen a los 4 [s] una velocidad tangencial de 15 [m s] si su radio es de 30 [cm] ¿cual sera la aceleracion tangencial?;mcu
Una polea posee una velocidad angular de 20 [rad s] si esta animada por un MCUV y se detiene en 4 [s] ¿cual es la aceleracion angular?;mcu
 Si la aceleracion angular de un volante es de 03  s ² ¿cual es la velocidad angular alcanzada a los 3 s?;mcu
Un punto movil gira con un periodo de 2 s y a 12 m del centro calcular: • a) La velocidad tangencial • b) La velocidad angular;mcu
La velocidad angular de un punto movil es de 55 [rad s] ¿cual es la velocidad tangencial si el radio de giro es de 015 [m]?;mcu
Calcular la aceleracion angular de una rueda de 025 m de radio al lograr a los 20 s una velocidad de 40 km h;mcu
 El radio de una rueda de bicicleta es de 32 cm Si la velocidad tangencial es de 40 km h ¿cual es la velocidad angular?;mcu
Un movil recorre una circunferencia de 2 m de radio con MCU dando 30 vueltas por minuto Calcular su velocidad angular velocidad lineal y su aceleracion centripeta;mcu
 El minutero y horario de un reloj estan superpuestos a las 12 horas ¿Cuanto tiempo transcurrira hasta que se encuentren en angulo recto? ¿Cuanto tiempo transcurrira hasta que se encuentren diametralmente opuestos?;mcu
 Un cilindro hueco de 3 m de altura gira alrededor de su eje con MCU a razon de 180 vueltas por minuto Una bala disparada paralelamente al eje de rotacion perfora las bases en dos puntos cuyos radios forman un angulo igual a 8 grados Calcular la velocidad de la bala;mcu
Encontrar la magnitud de la aceleracion centripeta de una particula en la punta del aspa de un ventilador de 03 m de diametro que gira a 1200 rpm;mcu
La tierra gira en torno del Sol en una orbita circular (aproximadamente) con una velocidad constante (aproximada) de 30 km s ¿Cual es la aceleracion de la Tierra hacia el Sol?;mcu
 Suponga que recorta un trozo de carton de forma de triangulo equilatero baja las perpendiculares de los vertices a los lados opuestos hace un agujero en el punto de interseccion de estas perpendiculares y lo coloca en un tocadiscos ajustado para girar a 16 rpm Determine la rapidez angular y la rapidez tangencial de los vertices del triangulo y de los pies de las perpendiculares;mcu
 ¿A que hora entre las 3 y las 4 estan opuestos el horario y el minutero de un reloj?;mcu
 ¿A que hora entre las 7 y las 8 el horario y el minutero forman un angulo recto?;mcu
¿Cuando estaran juntas el minutero y el horario de un reloj entre las 6 y las 7?;mcu
"Determine la ""rapidez de avance"" de una bicicleta cuando sus ruedas de 75 cm de diametro giran con rapidez angular de 20 rad s Exprese el resultado en km h";mcu
